packageNames,numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores
@types/node,38651,1,1934,176221370,2314.24,76,549,188,2,86
debug,55012,1,75,294842643,42.1,7,58,21,1,93
glob,32959,6,155,164573885,475,65,5,4,1,91
supports-color,4202,0,50,345767753,10.8,8,3,0,0,74
uuid,66184,0,39,122207481,168,96,3,1,1,93
brace-expansion,2673,1,19,153976470,12.8,8,3,2,1,79
lru-cache,7112,0,142,186254028,808,17,3,1,1,87
isobject,1669,0,11,44856261,7.76,11,3,1,0,71
omit-keys,28,2,1,4056,15.1,11,1,2,0,48
seerbook,0,56,29,0,699,324,30,11,0,57
immutable,8620,0,104,19303404,682,8,102,16,2,94
express,86429,31,281,34455951,221,16,112,67,2,95
firebase,6009,28,3764,2032445,25088,2608,425,212,2,95
jest,13756,4,355,25128627,5.01,6,281,63,1,82
dan-react-scripts,0,53,1,0,-1,-1,0,21,0,39
redux,18325,0,85,10473357,290,28,36,2,1,97
joe,0,3,29,84,-1,-1,11,0,0,45
kava,2,3,90,400,185,21,11,0,1,56
caterpillar,11,4,150,1795,238,72,6,0,1,68
spidergram,0,55,43,18,1187.84,653,14,0,1,57
d9,0,0,1,0,0.081054688,2,0,0,0,40
t,23,0,6,1443,-1,-1,0,0,0,36
vd,8,3,12,21,-1,-1,0,0,0,34
gv,0,3,4,0,-1,-1,0,0,0,28
gej,0,0,1,1,0.08203125,2,0,0,0,10
oew,0,0,1,0,0.08203125,2,0,0,0,10
jge,0,6,1,1,-1,-1,0,0,0,36
beo,0,0,1,0,-1,-1,69,23,0,69
rose,0,1,23,6,278,22,26,3,1,56
hyphen,37,0,31,566521,4433.92,172,1,0,1,80
hul,0,0,1,1,0.08203125,2,0,0,0,40
man,1,0,11,112,2.23,6,0,0,0,40
snyk,614,2,1960,429907,46796.8,488,0,19,1,76
semver,31248,0,108,346708239,95.8,52,45,3,1,97
commander,86200,0,115,160508798,186,14,12,2,1,95
once,3620,1,7,52863611,-1,-1,1,0,0,67
chalk,118939,0,38,332576874,43.7,12,3,1,0,87
ms,9251,0,24,243119539,6.72,4,18,10,0,76
graceful-fs,4778,0,67,60758442,32.5,7,26,23,0,71
fs,12477,0,3,1776519,-1,-1,0,4,0,0
hog-descriptor,1,0,7,0,0.66015625,2,0,14,0,42
deface,0,3,1,3,-1,-1,0,0,0,34
npm,12090,68,553,6399066,12083.2,2482,632,35,2,98
lodash,195459,0,114,56009303,1443.84,1054,74,41,0,80
isarray,2165,0,9,106166496,3.43,4,1,2,0,78
request,56354,20,126,13546907,209,17,106,26,0,42
esprima,3665,0,46,47175245,314,7,135,10,0,81
locate-path,2312,1,11,128610389,7.25,5,0,0,0,70
kind-of,2031,0,26,105082502,22.8,5,6,7,0,71
eslint,24623,35,371,42951354,3409.92,420,97,8,2,100
dotenv-expand,5335,1,23,16078528,18.2,8,5,3,1,80
crypto-js,13003,0,20,7461342,487,56,254,17,0,76
request-promise-native,4450,3,11,3368463,8.59,5,13,3,0,49
through,"3,222",0,29,30235259,-1,-1,11,3,0,55
connect,3208,4,234,7107741,95.2,6,2,3,0,84
raf,3601,1,24,7273795,8.1,7,1,0,0,74
react-scripts,25641,48,134,2841030,116,24,1773,486,0,82
readable-stream,5292,5,103,160376067,217,34,14,2,1,86
highlight.js,5382,0,101,8325913,5478.4,1538,97,24,1,95
@babel/polyfill,8601,2,48,1793636,443,10,626,148,0,90
progress,4704,0,20,19024905,15.5,7,49,23,0,75
koa-router,"4,010",3,91,447368,34.2,6,13,4,1,89
ncp,"4,217",0,24,3658770,-1,-1,53,28,0,72
lodash.merge,"6,779",0,37,35103948,54.1,4,74,41,0,80
lru-cache,"7,117",0,142,187323509,808,17,4,1,1,87
moment-timezone,"10,551",1,63,9467798,2928.64,22,72,4,2,94
figlet,11161,0,26,1939160,6277.12,622,18,1,2,88
optimize-css-assets-webpack-plugin,4666,3,27,1795062,18,36,27,15,0,70
iconv-lite,6060,1,51,82069611,349,33,54,17,0,73
bunyan,4931,4,112,1752245,201,6,227,63,0,67
gulp-uglify,2763,10,31,340475,12.8,10,13,4,0,56
history,5665,1,101,6628195,121,21,109,15,0,76
readline-sync,4091,0,65,1980205,133,9,0,0,0,55
pluralize,5463,0,34,10897791,17.7,4,32,23,0,74
url,5158,2,11,19920366,78.3,9,12,4,1,84
log4js,4041,5,152,4780655,160,33,80,12,0,84
cli-table,3274,1,15,2932206,17.3,5,12,6,0,76
webpack-merge,5476,3,91,12928830,49.5,21,1,5,1,84
archiver,5019,7,83,9797650,43.1,9,131,16,1,89
babel-register,2888,7,50,1797484,-1,-1,626,148,0,82
eslint-config-airbnb,4855,3,61,3693433,81.7,20,93,70,0,85
clone,4446,0,38,34830110,15.9,6,24,4,0,70
jsonfile,4083,2,25,60636223,19.8,6,3,2,0,74
puppeteer,7757,6,904,3861687,341,43,259,14,2,83
shortid,4374,1,31,891475,21,15,15,1,0,39
@babel/plugin-proposal-class-properties,6167,2,65,15965634,3.34,4,626,148,0,72
querystring,4624,0,5,16368764,9.39,10,13,3,0,91
serve-static,4020,4,66,35190298,25.4,5,9,5,1,86
tslint,3324,13,182,1984727,1935.36,513,1,0,0,50
pug,4382,8,40,1506416,59.7,6,295,23,1,84
config,5868,1,118,1365605,94.4,9,49,16,1,80
source-map,4892,0,68,169005929,226,18,40,22,0,85
antd,11858,49,849,1571832,48435.2,3675,1155,68,2,95
concat-stream,2961,4,37,21675484,9.56,4,11,7,0,74
element-ui,11642,6,164,190861,9472,999,2525,316,0,68
lodash.get,5703,0,13,12748326,-1,-1,74,41,0,80
@babel/preset-react,9424,6,85,14585455,12.2,5,626,148,2,95
serve-favicon,2730,5,21,2106421,14.9,5,0,2,0,69
stylus,2347,5,183,2698626,366,143,249,19,2,97
date-fns,19556,0,204,22973251,23142.4,5326,564,189,1,88
