numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores
38651,1,1934,176221370,2314.24,76,549,188,2,86
55012,1,75,294842643,42.1,7,58,21,1,93
32959,6,155,164573885,475,65,5,4,1,91
4202,0,50,345767753,10.8,8,3,0,0,74
66184,0,39,122207481,168,96,3,1,1,93
2673,1,19,153976470,12.8,8,3,2,1,79
7112,0,142,186254028,808,17,3,1,1,87
1669,0,11,44856261,7.76,11,3,1,0,71
28,2,1,4056,15.1,11,1,2,0,48
0,56,29,0,699,324,30,11,0,57
8620,0,104,19303404,682,8,102,16,2,94
86429,31,281,34455951,221,16,112,67,2,95
6009,28,3764,2032445,25088,2608,425,212,2,95
13756,4,355,25128627,5.01,6,281,63,1,82
0,53,1,0,-1,-1,0,21,0,39
18325,0,85,10473357,290,28,36,2,1,97
0,3,29,84,-1,-1,11,0,0,45
2,3,90,400,185,21,11,0,1,56
11,4,150,1795,238,72,6,0,1,68
0,55,43,18,1187.84,653,14,0,1,57
0,0,1,0,0.081054688,2,0,0,0,40
23,0,6,1443,-1,-1,0,0,0,36
8,3,12,21,-1,-1,0,0,0,34
0,3,4,0,-1,-1,0,0,0,28
0,0,1,1,0.08203125,2,0,0,0,10
0,0,1,0,0.08203125,2,0,0,0,10
0,6,1,1,-1,-1,0,0,0,36
0,0,1,0,-1,-1,69,23,0,69
0,1,23,6,278,22,26,3,1,56
37,0,31,566521,4433.92,172,1,0,1,80
0,0,1,1,0.08203125,2,0,0,0,40
1,0,11,112,2.23,6,0,0,0,40
614,2,1960,429907,46796.8,488,0,19,1,76
31248,0,108,346708239,95.8,52,45,3,1,97
86200,0,115,160508798,186,14,12,2,1,95
3620,1,7,52863611,-1,-1,1,0,0,67
118939,0,38,332576874,43.7,12,3,1,0,87
9251,0,24,243119539,6.72,4,18,10,0,76
4778,0,67,60758442,32.5,7,26,23,0,71
12477,0,3,1776519,-1,-1,0,4,0,0
1,0,7,0,0.66015625,2,0,14,0,42
0,3,1,3,-1,-1,0,0,0,34
12090,68,553,6399066,12083.2,2482,632,35,2,98
195459,0,114,56009303,1443.84,1054,74,41,0,80
2165,0,9,106166496,3.43,4,1,2,0,78
56354,20,126,13546907,209,17,106,26,0,42
3665,0,46,47175245,314,7,135,10,0,81
2312,1,11,128610389,7.25,5,0,0,0,70
2031,0,26,105082502,22.8,5,6,7,0,71
24623,35,371,42951354,3409.92,420,97,8,2,100
5335,1,23,16078528,18.2,8,5,3,1,80
13003,0,20,7461342,487,56,254,17,0,76
4450,3,11,3368463,8.59,5,13,3,0,49
3222,0,29,30235259,-1,-1,11,3,0,55
3208,4,234,7107741,95.2,6,2,3,0,84
3601,1,24,7273795,8.1,7,1,0,0,74
25641,48,134,2841030,116,24,1773,486,0,82
5292,5,103,160376067,217,34,14,2,1,86
5382,0,101,8325913,5478.4,1538,97,24,1,95
8601,2,48,1793636,443,10,626,148,0,90
4704,0,20,19024905,15.5,7,49,23,0,75
4010,3,91,447368,34.2,6,13,4,1,89
4217,0,24,3658770,-1,-1,53,28,0,72
6779,0,37,35103948,54.1,4,74,41,0,80
7117,0,142,187323509,808,17,4,1,1,87
10551,1,63,9467798,2928.64,22,72,4,2,94
11161,0,26,1939160,6277.12,622,18,1,2,88
4666,3,27,1795062,18,36,27,15,0,70
6060,1,51,82069611,349,33,54,17,0,73
4931,4,112,1752245,201,6,227,63,0,67
2763,10,31,340475,12.8,10,13,4,0,56
5665,1,101,6628195,121,21,109,15,0,76
4091,0,65,1980205,133,9,0,0,0,55
5463,0,34,10897791,17.7,4,32,23,0,74
5158,2,11,19920366,78.3,9,12,4,1,84
4041,5,152,4780655,160,33,80,12,0,84
3274,1,15,2932206,17.3,5,12,6,0,76
5476,3,91,12928830,49.5,21,1,5,1,84
5019,7,83,9797650,43.1,9,131,16,1,89
2888,7,50,1797484,-1,-1,626,148,0,82
4855,3,61,3693433,81.7,20,93,70,0,85
4446,0,38,34830110,15.9,6,24,4,0,70
4083,2,25,60636223,19.8,6,3,2,0,74
7757,6,904,3861687,341,43,259,14,2,83
4374,1,31,891475,21,15,15,1,0,39
6167,2,65,15965634,3.34,4,626,148,0,72
4624,0,5,16368764,9.39,10,13,3,0,91
4020,4,66,35190298,25.4,5,9,5,1,86
3324,13,182,1984727,1935.36,513,1,0,0,50
4382,8,40,1506416,59.7,6,295,23,1,84
5868,1,118,1365605,94.4,9,49,16,1,80
4892,0,68,169005929,226,18,40,22,0,85
11858,49,849,1571832,48435.2,3675,1155,68,2,95
2961,4,37,21675484,9.56,4,11,7,0,74
11642,6,164,190861,9472,999,2525,316,0,68
5703,0,13,12748326,-1,-1,74,41,0,80
9424,6,85,14585455,12.2,5,626,148,2,95
2730,5,21,2106421,14.9,5,0,2,0,69
2347,5,183,2698626,366,143,249,19,2,97
19556,0,204,22973251,23142.4,5326,564,189,1,88
