numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores
17774,2,34,12496663,20,6,22,9,-1,0
10095,-1,17,42096217,-1,-1,-1,-1,-1,0
1489,-1,7,30895848,-1,-1,-1,-1,-1,0
86598,31,281,32836952,221,16,112,88,1,0
1848,2,37,32185725,16.8,5,5,3,1,0
7259,1,56,54642837,18.3,5,7,3,1,0
2109,-1,63,60784084,219,6,17,23,1,0
1451,-1,28,37883925,28.7,9,8,2,2,0
1110,-1,12,33898573,20.1,13,-1,-1,-1,0
26129,12,76,35067443,62.6,11,14,15,2,0
2432,-1,18,54046277,12.3,5,3,3,-1,0
1780,-1,7,31813776,10.5,5,1,1,-1,0
55093,1,74,281227266,42.1,7,58,21,1,0
2338,-1,17,53224814,27.1,6,6,9,-1,0
1425,-1,5,32655054,9.02,4,-1,1,-1,0
4106,5,29,55149443,18.8,5,6,8,-1,0
6078,1,51,78848588,349,33,54,17,-1,0
2129,-1,6,44219452,42.3,7,5,2,-1,0
2247,1,8,43080911,13.7,5,3,2,-1,0
17121,1,113,71416710,254,18,63,12,1,0
1975,4,50,37553297,26.3,7,-1,1,1,0
2432,-1,18,54046277,12.3,5,3,3,-1,0
4106,5,29,55149443,18.8,5,6,8,-1,0
6078,1,51,78848588,349,33,54,17,-1,0
1229,-1,1,31079738,-1,-1,-1,-1,-1,0
1477,2,38,29267726,18.5,5,6,3,1,0
1229,-1,1,31079738,-1,-1,-1,-1,-1,0
1311,1,13,32744856,19.1,5,7,5,1,0
4067,-1,11,120432356,32.1,5,4,2,-1,0
1780,-1,7,31813776,10.5,5,1,1,-1,0
1184,-1,13,30622692,4.99,5,2,-1,2,0
4602,-1,30,55817254,46,6,2,3,2,0
55093,1,74,281227266,42.1,7,58,21,1,0
9278,-1,24,230672683,6.72,4,18,10,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
1484,-1,4,48012716,6.98,4,-1,-1,1,0
2991,-1,5,32334779,-1,-1,-1,2,-1,0
2076,-1,14,30245400,-1,-1,-1,-1,-1,0
1820,7,32,36830150,19,6,5,6,1,0
55093,1,74,281227266,42.1,7,58,21,1,0
1484,-1,4,48012716,6.98,4,-1,-1,1,0
2991,-1,5,32334779,-1,-1,-1,2,-1,0
2247,1,8,43080911,13.7,5,3,2,-1,0
2008,-1,11,30422224,10.3,5,1,-1,-1,0
2408,-1,14,56296884,12.1,6,-1,4,-1,0
1229,-1,1,31079738,-1,-1,-1,-1,-1,0
1625,-1,14,30567425,-1,-1,-1,-1,1,0
4106,5,29,55149443,18.8,5,-1,-1,-1,0
2338,-1,17,53224814,27.1,6,-1,-1,-1,0
6037,-1,7,76545986,3.96,5,-1,-1,-1,0
2109,-1,7,47305885,4.03,6,-1,-1,-1,0
2408,-1,14,56296884,12.1,6,-1,-1,-1,0
1739,-1,3,33461448,4.68,5,-1,-1,-1,0
1029,-1,7,30245142,4.37,5,-1,-1,-1,0
1489,-1,7,30271011,-1,-1,-1,3,-1,0
2247,1,8,43080911,13.7,5,3,2,-1,0
1227,-1,8,31441375,-1,-1,-1,-1,-1,0
2008,-1,11,30422224,10.3,5,1,-1,-1,0
6631,-1,67,57756137,55.2,6,1,1,1,0
941,2,27,28550301,15.4,5,2,-1,-1,0
714,-1,4,28491914,5.88,5,1,1,-1,0
1322,-1,35,39773232,62.3,6,6,1,1,0
17121,1,113,71416710,254,18,63,12,1,0
1401,4,6,44421818,23.2,12,-1,-1,1,0
2086,5,8,49780722,22.1,12,2,1,1,0
945,1,1,35023015,11.8,11,1,-1,1,0
1958,5,12,52339334,41.6,9,3,-1,1,0
1015,-1,5,35333906,12.3,22,-1,-1,1,0
2821,-1,6,53962337,31.4,12,-1,-1,-1,0
1958,5,12,52339334,41.6,9,-1,-1,1,0
1044,6,7,38827791,14.7,12,-1,-1,1,0
1072,3,7,39827932,30.9,11,-1,-1,1,0
